age,age_cat,sex,race,priors_count,days_b_screening_arrest,c_charge_degree,is_recid,is_violent_recid,two_year_recid,length_of_stay,label
22,Less than 25,Male,Caucasian,0,1,F,0,0,0,57,1
26,25 - 45,Female,African-American,1,1,F,1,1,1,2,0
27,25 - 45,Male,Caucasian,1,43,F,1,1,1,19,1
32,25 - 45,Male,African-American,0,1,F,0,0,0,1,0
41,25 - 45,Male,African-American,1,1,M,0,0,0,1,0
30,25 - 45,Male,African-American,8,1,M,1,1,1,1,1
50,Greater than 45,Male,Other,0,1,F,1,0,1,0,0
25,25 - 45,Male,African-American,14,1,F,1,1,1,7,1
20,Less than 25,Male,Other,0,1,F,1,1,1,1,0
22,Less than 25,Male,African-American,2,0,F,1,0,1,30,1
23,Less than 25,Male,African-American,2,137,M,1,0,1,0,1
35,25 - 45,Female,African-American,1,1,M,0,0,0,0,0
36,25 - 45,Male,African-American,9,0,F,1,0,1,3,1
26,25 - 45,Male,Caucasian,7,0,F,1,0,1,0,1
21,Less than 25,Male,Other,1,0,F,1,0,1,3,0
25,25 - 45,Male,Caucasian,9,1,F,1,1,1,0,1
71,Greater than 45,Male,African-American,12,1,M,0,0,0,0,1
20,Less than 25,Female,Caucasian,0,1,F,0,0,0,0,1
39,25 - 45,Male,Caucasian,2,2,F,1,0,1,1,0
66,Greater than 45,Male,Caucasian,3,64,F,0,0,0,30,0
54,Greater than 45,Female,Caucasian,0,0,M,0,0,0,0,0
44,25 - 45,Female,Hispanic,0,2,M,0,0,0,1,0
19,Less than 25,Male,African-American,1,10,M,1,1,1,9,0
24,Less than 25,Male,African-American,1,137,F,0,0,0,137,0
30,25 - 45,Male,African-American,1,1,F,0,0,0,0,0
39,25 - 45,Female,Caucasian,0,1,F,1,1,1,1,0
24,Less than 25,Male,Caucasian,8,1,F,1,0,1,12,0
30,25 - 45,Male,Caucasian,0,1,F,0,0,0,5,0
31,25 - 45,Male,Caucasian,0,1,M,0,0,0,38,0
39,25 - 45,Female,Caucasian,1,1,F,0,0,0,106,0
59,Greater than 45,Male,African-American,14,178,F,1,1,1,109,1
43,25 - 45,Male,Caucasian,1,30,F,0,0,0,1,0
21,Less than 25,Male,African-American,3,1,F,1,0,1,6,1
38,25 - 45,Male,Caucasian,5,1,M,1,0,1,2,0
34,25 - 45,Male,Caucasian,0,0,F,0,0,0,14,0
33,25 - 45,Male,African-American,5,0,F,1,0,1,0,0
37,25 - 45,Male,African-American,3,0,F,0,0,0,1,0
42,25 - 45,Male,Caucasian,1,0,F,1,0,1,0,0
41,25 - 45,Male,African-American,10,0,F,1,0,1,176,1
22,Less than 25,Male,African-American,0,1,F,1,0,1,0,0
33,25 - 45,Male,African-American,28,1,F,1,0,1,1,1
31,25 - 45,Male,African-American,1,1,M,0,0,0,1,1
30,25 - 45,Female,Other,1,1,F,0,0,0,1,0
31,25 - 45,Male,Caucasian,13,1,F,1,1,1,471,1
27,25 - 45,Male,African-American,3,1,F,1,0,1,0,1
56,Greater than 45,Male,African-American,8,67,F,0,0,0,79,1
52,Greater than 45,Male,Caucasian,3,2,M,0,0,0,0,1
33,25 - 45,Male,African-American,19,1,F,1,0,1,0,1
64,Greater than 45,Female,Caucasian,2,47,M,0,0,0,1,0
22,Less than 25,Male,Caucasian,4,36,F,1,0,1,14,0
42,25 - 45,Male,Caucasian,6,4,F,0,0,0,1,0
25,25 - 45,Female,Caucasian,2,1,F,0,0,0,3,0
30,25 - 45,Male,Caucasian,1,20,M,0,0,0,3,0
28,25 - 45,Male,Caucasian,2,1,F,0,0,0,0,0
37,25 - 45,Female,Other,2,1,M,0,0,0,1,0
28,25 - 45,Male,Caucasian,0,1,M,1,0,1,0,0
24,Less than 25,Female,African-American,0,1,M,0,0,0,2,0
29,25 - 45,Female,Caucasian,10,1,F,1,0,1,7,0
44,25 - 45,Male,Caucasian,2,0,M,1,0,1,1,0
30,25 - 45,Female,Hispanic,4,35,F,1,1,1,0,0
32,25 - 45,Male,African-American,3,1,F,1,0,1,8,1
31,25 - 45,Male,Caucasian,2,16,M,1,0,1,15,0
31,25 - 45,Male,African-American,1,1,M,1,0,0,1,0
59,Greater than 45,Male,Caucasian,1,1,F,1,0,1,0,0
45,Greater than 45,Female,Caucasian,4,1,F,0,0,0,0,0
20,Less than 25,Female,African-American,1,0,F,0,0,0,2,1
43,25 - 45,Female,Caucasian,0,0,M,0,0,0,0,0
38,25 - 45,Male,African-American,9,1,F,1,0,1,13,1
32,25 - 45,Male,African-American,11,2,F,1,1,1,1,0
33,25 - 45,Male,African-American,8,1,M,1,1,1,0,0
31,25 - 45,Female,African-American,0,1,F,1,0,1,1,0
33,25 - 45,Female,African-American,7,1,F,1,0,1,26,1
27,25 - 45,Male,African-American,2,1,F,1,0,1,1,1
20,Less than 25,Female,African-American,0,0,F,0,0,0,0,0
26,25 - 45,Female,Caucasian,0,2,M,0,0,0,0,0
61,Greater than 45,Female,African-American,1,1,F,1,0,1,0,0
52,Greater than 45,Male,Other,13,1,F,1,0,1,1,1
63,Greater than 45,Male,Hispanic,1,26,F,0,0,0,14,0
32,25 - 45,Female,African-American,4,7,F,1,1,1,6,1
29,25 - 45,Male,Hispanic,1,1,F,0,0,0,0,0
46,Greater than 45,Female,Other,1,1,F,0,0,0,0,0
26,25 - 45,Female,African-American,2,1,M,1,0,1,0,0
55,Greater than 45,Male,African-American,3,51,M,0,0,0,1,0
39,25 - 45,Male,Caucasian,1,1,M,0,0,0,3,0
30,25 - 45,Female,Caucasian,3,0,F,1,0,1,530,1
30,25 - 45,Male,African-American,1,0,F,0,0,0,70,1
48,Greater than 45,Male,Caucasian,2,1,M,0,0,0,0,0
22,Less than 25,Male,African-American,1,1,F,0,0,0,0,0
46,Greater than 45,Male,Caucasian,6,22,F,1,0,1,22,0
49,Greater than 45,Female,Caucasian,6,56,F,0,0,0,5,0
31,25 - 45,Male,Caucasian,0,0,F,0,0,0,2,0
25,25 - 45,Male,African-American,1,1,M,1,0,1,1,0
23,Less than 25,Male,Hispanic,0,1,F,0,0,0,0,0
32,25 - 45,Female,African-American,5,1,F,0,0,0,1,1
52,Greater than 45,Male,Hispanic,2,1,M,0,0,0,3,0
62,Greater than 45,Male,African-American,8,0,F,0,0,0,15,0
37,25 - 45,Female,Caucasian,6,110,F,0,0,0,105,1
55,Greater than 45,Male,Caucasian,1,45,F,0,0,0,18,0
31,25 - 45,Male,Hispanic,8,29,F,1,0,1,117,1
28,25 - 45,Male,African-American,6,1,M,1,1,1,0,0
54,Greater than 45,Male,Hispanic,2,1,F,0,0,0,188,0
58,Greater than 45,Male,Hispanic,0,1,F,0,0,0,0,0
78,Greater than 45,Male,Caucasian,1,1,M,1,0,1,0,0
56,Greater than 45,Male,Caucasian,0,1,F,0,0,0,1,0
24,Less than 25,Male,Other,0,1,F,0,0,0,1,0
38,25 - 45,Male,African-American,22,34,F,1,0,1,33,1
22,Less than 25,Male,African-American,1,0,F,1,0,1,0,0
47,Greater than 45,Male,African-American,23,1,M,1,0,1,0,1
23,Less than 25,Male,African-American,0,1,M,1,0,1,1,0
57,Greater than 45,Male,Hispanic,1,0,F,0,0,0,19,0
38,25 - 45,Female,Caucasian,2,35,F,1,0,1,0,0
66,Greater than 45,Male,African-American,3,10,F,1,1,0,2,0
45,Greater than 45,Male,Caucasian,8,0,M,1,0,1,71,0
52,Greater than 45,Female,Other,0,1,M,1,0,1,0,0
32,25 - 45,Male,African-American,13,289,F,1,0,1,97,1
37,25 - 45,Male,African-American,2,0,M,1,1,1,0,1
39,25 - 45,Male,Caucasian,0,0,F,1,0,1,0,0
26,25 - 45,Male,African-American,9,0,F,1,0,1,79,1
45,Greater than 45,Male,Caucasian,2,1,F,0,0,0,358,0
23,Less than 25,Male,African-American,0,1,F,1,1,1,0,0
34,25 - 45,Male,African-American,2,0,M,1,0,0,25,0
23,Less than 25,Female,African-American,1,1,M,0,0,0,0,0
36,25 - 45,Male,Other,2,1,M,1,0,1,2,0
50,Greater than 45,Male,Caucasian,1,4,F,0,0,0,1,0
37,25 - 45,Female,Caucasian,0,1,M,0,0,0,0,0
44,25 - 45,Male,Caucasian,4,0,M,0,0,0,1,0
35,25 - 45,Female,African-American,23,1,F,1,0,1,2,1
24,Less than 25,Male,Other,5,1,F,1,0,1,0,0
26,25 - 45,Male,African-American,2,1,F,1,0,1,1,1
27,25 - 45,Male,African-American,0,1,M,0,0,0,2,0
28,25 - 45,Female,African-American,0,0,F,0,0,0,29,1
43,25 - 45,Male,Caucasian,11,49,F,1,1,1,121,0
28,25 - 45,Female,Caucasian,7,1,F,1,0,1,1,1
38,25 - 45,Male,African-American,2,1,F,0,0,0,1,0
27,25 - 45,Male,Caucasian,2,36,M,0,0,0,36,0
28,25 - 45,Female,African-American,1,1,F,0,0,0,38,1
56,Greater than 45,Male,Caucasian,7,1,F,1,0,1,0,0
38,25 - 45,Male,African-American,15,1,F,0,0,0,1,1
28,25 - 45,Male,African-American,2,1,M,0,0,0,0,0
45,Greater than 45,Male,African-American,3,104,F,0,0,0,218,0
28,25 - 45,Male,Hispanic,0,1,M,0,0,0,0,0
61,Greater than 45,Male,Caucasian,1,34,F,0,0,0,0,0
51,Greater than 45,Female,Caucasian,0,1,M,1,1,1,0,0
51,Greater than 45,Male,Caucasian,0,1,M,0,0,0,0,0
36,25 - 45,Male,Other,1,1,M,1,0,1,1,0
48,Greater than 45,Male,African-American,0,1,F,0,0,0,1,0
37,25 - 45,Male,Caucasian,4,0,F,1,0,1,1,0
30,25 - 45,Female,African-American,2,1,F,0,0,0,2,1
41,25 - 45,Female,African-American,5,0,M,0,0,0,0,0
27,25 - 45,Male,African-American,11,1,F,1,0,1,223,1
37,25 - 45,Male,African-American,0,1,M,1,1,0,1,0
33,25 - 45,Male,Other,4,0,F,1,0,1,2,0
54,Greater than 45,Male,African-American,11,1,F,0,0,0,129,1
23,Less than 25,Male,African-American,2,1,F,0,0,0,71,1
26,25 - 45,Female,African-American,2,227,F,1,0,1,226,0
41,25 - 45,Male,African-American,0,0,M,0,0,0,0,0
52,Greater than 45,Male,Caucasian,0,1,F,0,0,0,0,0
43,25 - 45,Male,Caucasian,13,0,F,1,0,1,51,0
52,Greater than 45,Male,African-American,0,1,F,0,0,0,13,0
28,25 - 45,Male,Caucasian,1,3,F,0,0,0,3,0
30,25 - 45,Male,African-American,11,1,M,1,1,1,1,1
28,25 - 45,Male,Caucasian,1,0,F,0,0,0,6,0
22,Less than 25,Male,African-American,0,1,F,0,0,0,0,0
30,25 - 45,Male,African-American,4,0,F,0,0,0,1,0
25,25 - 45,Male,Hispanic,4,0,F,0,0,0,1,0
31,25 - 45,Male,Caucasian,0,1,F,1,0,1,30,1
37,25 - 45,Male,Caucasian,0,1,F,1,0,1,35,0
32,25 - 45,Male,African-American,14,1,F,0,0,0,1,1
26,25 - 45,Male,African-American,4,649,M,0,0,0,75,1
53,Greater than 45,Male,Caucasian,1,1,M,0,0,0,1,0
28,25 - 45,Male,African-American,25,29,F,1,0,1,25,1
44,25 - 45,Male,Caucasian,8,1,M,1,0,1,4,0
25,25 - 45,Male,African-American,0,0,F,0,0,0,0,0
22,Less than 25,Male,Caucasian,1,0,M,1,0,1,5,1
37,25 - 45,Female,Other,0,1,M,0,0,0,1,0
40,25 - 45,Female,Other,3,1,F,0,0,0,1,0
36,25 - 45,Male,Caucasian,8,150,F,1,1,1,22,1
30,25 - 45,Male,Caucasian,4,140,F,0,0,0,62,0
22,Less than 25,Male,African-American,3,161,M,1,1,1,0,1
24,Less than 25,Female,Caucasian,1,32,M,1,1,1,29,1
27,25 - 45,Male,African-American,3,44,M,1,0,1,6,0
31,25 - 45,Female,Hispanic,0,1,M,0,0,0,0,0
23,Less than 25,Male,Hispanic,1,1,F,1,0,1,1,0
23,Less than 25,Female,Caucasian,5,1,F,1,0,1,0,0
24,Less than 25,Male,Hispanic,0,3,M,0,0,0,0,1
29,25 - 45,Male,African-American,1,1,M,0,0,0,0,0
20,Less than 25,Male,African-American,1,1,F,1,1,1,1,1
30,25 - 45,Male,African-American,2,1,F,1,0,1,1,0
39,25 - 45,Male,Other,0,1,F,0,0,0,0,0
27,25 - 45,Male,African-American,4,1,F,0,0,0,0,0
31,25 - 45,Male,Caucasian,2,812,M,1,0,0,10,0
37,25 - 45,Female,African-American,2,0,F,0,0,0,0,0
20,Less than 25,Male,African-American,0,1,F,0,0,0,2,1
22,Less than 25,Male,Hispanic,0,0,F,0,0,0,2,1
52,Greater than 45,Female,African-American,0,1,F,0,0,0,0,0
23,Less than 25,Female,African-American,0,1,F,1,0,1,3,0
48,Greater than 45,Female,African-American,0,1,F,0,0,0,1,0
66,Greater than 45,Male,African-American,8,1,F,1,0,1,0,0
25,25 - 45,Male,Caucasian,0,0,F,0,0,0,0,0
27,25 - 45,Male,Caucasian,0,1,F,1,1,1,1,0
30,25 - 45,Male,African-American,11,0,F,1,0,1,1,1
22,Less than 25,Male,African-American,3,1,M,1,0,1,1,1
22,Less than 25,Female,Caucasian,1,1,F,0,0,0,0,0
35,25 - 45,Male,African-American,2,1,F,0,0,0,0,1
32,25 - 45,Male,Caucasian,2,232,F,0,0,0,40,0
41,25 - 45,Female,African-American,2,1,M,0,0,0,0,0
25,25 - 45,Female,Other,0,1,F,0,0,0,0,0
44,25 - 45,Male,African-American,24,53,M,0,0,0,117,1
52,Greater than 45,Male,African-American,3,0,F,1,0,1,24,0
43,25 - 45,Male,African-American,0,1,F,0,0,0,41,0
37,25 - 45,Male,Caucasian,3,4,F,0,0,0,2,0
28,25 - 45,Male,African-American,3,299,M,1,1,1,2,0
70,Greater than 45,Male,Caucasian,1,13,M,0,0,0,12,0
54,Greater than 45,Male,Caucasian,6,266,F,1,0,1,0,0
46,Greater than 45,Male,Caucasian,3,1,F,0,0,0,14,0
21,Less than 25,Male,African-American,0,1,M,1,0,1,1,1
26,25 - 45,Male,African-American,1,1,M,1,1,1,1,1
38,25 - 45,Male,Hispanic,3,23,F,1,0,1,1,0
34,25 - 45,Male,Caucasian,5,1,M,0,0,0,1,0
19,Less than 25,Male,African-American,1,48,F,1,0,1,48,0
34,25 - 45,Male,African-American,5,1,M,0,0,0,0,0
23,Less than 25,Male,Caucasian,0,0,F,1,0,1,0,0
34,25 - 45,Male,African-American,5,1,F,1,0,1,2,0
30,25 - 45,Male,African-American,2,83,F,0,0,0,83,0
39,25 - 45,Male,African-American,6,1,F,1,0,1,2,0
24,Less than 25,Male,Other,0,1,F,0,0,0,1,0
33,25 - 45,Male,Caucasian,1,93,M,1,1,1,0,0
58,Greater than 45,Male,Caucasian,2,1,F,0,0,0,1,0
21,Less than 25,Female,African-American,0,0,M,0,0,0,0,0
21,Less than 25,Male,African-American,1,36,F,1,0,0,36,0
23,Less than 25,Male,African-American,4,11,M,1,0,1,11,1
62,Greater than 45,Male,Caucasian,0,0,F,0,0,0,1,0
27,25 - 45,Male,African-American,4,300,M,1,0,1,0,1
37,25 - 45,Male,Caucasian,5,1,F,0,0,0,10,0
43,25 - 45,Male,Other,2,1,F,1,0,1,7,0
32,25 - 45,Female,African-American,5,0,F,0,0,0,1,0
23,Less than 25,Male,Hispanic,0,1,F,0,0,0,45,0
27,25 - 45,Male,African-American,0,0,M,0,0,0,0,0
44,25 - 45,Male,Caucasian,0,1,M,1,0,1,1,0
28,25 - 45,Male,Caucasian,3,1,M,1,0,1,0,0
42,25 - 45,Female,Caucasian,0,3,F,0,0,0,1,0
24,Less than 25,Male,Other,9,1,F,1,1,1,4,1
27,25 - 45,Male,African-American,0,0,F,0,0,0,17,0
20,Less than 25,Male,African-American,0,1,F,1,0,1,0,1
51,Greater than 45,Female,Caucasian,0,0,M,0,0,0,1,0
56,Greater than 45,Male,Caucasian,0,0,M,0,0,0,1,0
29,25 - 45,Male,African-American,7,1,F,0,0,0,1,1
20,Less than 25,Male,African-American,0,1,F,1,0,1,209,1
53,Greater than 45,Male,Caucasian,6,176,F,0,0,0,174,0
27,25 - 45,Male,Caucasian,8,1,F,0,0,0,68,0
24,Less than 25,Male,African-American,2,1,F,1,1,1,19,1
53,Greater than 45,Male,Caucasian,36,7,F,1,0,1,32,0
28,25 - 45,Male,Caucasian,2,0,M,1,1,1,1,0
45,Greater than 45,Male,African-American,1,1,F,0,0,0,0,0
21,Less than 25,Male,Hispanic,3,22,F,1,0,0,22,0
36,25 - 45,Female,African-American,0,1,F,0,0,0,12,1
25,25 - 45,Female,Caucasian,2,2,M,1,0,1,1,0
23,Less than 25,Female,Hispanic,1,0,M,1,0,0,0,0
28,25 - 45,Male,Caucasian,1,4,F,0,0,0,1,0
21,Less than 25,Female,African-American,0,1,F,1,0,1,1,1
36,25 - 45,Male,Caucasian,0,1,M,0,0,0,0,0
24,Less than 25,Male,African-American,0,1,F,0,0,0,0,0
28,25 - 45,Male,African-American,3,206,F,1,0,1,32,0
30,25 - 45,Male,Other,1,1,F,1,0,1,0,0
29,25 - 45,Male,African-American,0,1,F,0,0,0,1,0
30,25 - 45,Female,Caucasian,0,0,M,0,0,0,3,0
51,Greater than 45,Male,Hispanic,1,1,M,0,0,0,1,0
33,25 - 45,Male,Other,3,94,F,0,0,0,3,0
25,25 - 45,Female,African-American,2,86,F,0,0,0,1,0
32,25 - 45,Male,African-American,12,1,F,1,1,1,1,1
23,Less than 25,Male,African-American,1,0,F,0,0,0,1,0
47,Greater than 45,Male,African-American,3,0,F,0,0,0,0,0
32,25 - 45,Female,Hispanic,1,80,F,1,0,1,2,0
37,25 - 45,Male,Caucasian,0,1,F,0,0,0,19,0
19,Less than 25,Male,African-American,2,1,F,1,0,1,1,1
27,25 - 45,Male,Hispanic,0,1,M,0,0,0,2,1
39,25 - 45,Male,Other,0,1,M,0,0,0,0,0
21,Less than 25,Female,Caucasian,0,0,F,0,0,0,0,0
69,Greater than 45,Male,Caucasian,0,1,M,0,0,0,0,0
21,Less than 25,Male,Caucasian,2,1,F,0,0,0,2,0
26,25 - 45,Male,African-American,6,0,M,1,0,1,3,1
22,Less than 25,Male,Caucasian,0,2,F,0,0,0,0,0
23,Less than 25,Female,African-American,0,1,F,1,0,1,0,0
49,Greater than 45,Male,African-American,3,0,F,0,0,0,3,0
29,25 - 45,Male,African-American,2,1,M,1,0,0,50,0
60,Greater than 45,Female,Caucasian,0,1,M,0,0,0,0,0
26,25 - 45,Female,African-American,0,1,M,0,0,0,0,1
23,Less than 25,Male,African-American,3,0,F,1,0,1,0,1
34,25 - 45,Male,Hispanic,2,47,M,1,1,1,207,0
20,Less than 25,Female,Other,1,21,F,0,0,0,2,0
36,25 - 45,Male,Hispanic,1,0,F,0,0,0,95,0
30,25 - 45,Male,Caucasian,0,0,F,0,0,0,1,0
21,Less than 25,Male,African-American,1,1,F,1,0,0,1,0
22,Less than 25,Male,Caucasian,2,1,M,1,0,1,0,0
57,Greater than 45,Male,African-American,18,1,F,0,0,0,0,1
21,Less than 25,Male,African-American,4,1,F,1,0,1,219,1
21,Less than 25,Male,African-American,0,1,F,1,0,1,12,0
34,25 - 45,Male,Caucasian,1,0,M,0,0,0,0,0
50,Greater than 45,Female,Caucasian,1,1,M,1,0,1,0,0
40,25 - 45,Male,Caucasian,0,1,F,1,0,1,8,1
25,25 - 45,Male,African-American,7,1,F,1,0,1,127,1
53,Greater than 45,Female,Caucasian,1,1,M,0,0,0,0,0
24,Less than 25,Female,African-American,0,1,F,0,0,0,1,0
42,25 - 45,Male,African-American,1,12,F,0,0,0,4,0
28,25 - 45,Male,African-American,1,1,M,0,0,0,1,0
24,Less than 25,Male,Caucasian,1,36,M,0,0,0,36,0
26,25 - 45,Male,African-American,6,1,F,1,0,1,1,1
22,Less than 25,Male,African-American,4,1,F,1,1,1,260,1
21,Less than 25,Male,Caucasian,3,8,M,0,0,0,5,1
37,25 - 45,Male,African-American,23,1,F,1,0,1,17,1
35,25 - 45,Male,African-American,2,1,F,0,0,0,5,0
53,Greater than 45,Male,African-American,2,1,F,0,0,0,0,0
60,Greater than 45,Male,African-American,1,1,F,0,0,0,0,0
29,25 - 45,Male,African-American,7,1,F,1,0,0,1,0
48,Greater than 45,Male,Caucasian,23,1,F,1,1,1,360,1
52,Greater than 45,Female,Caucasian,0,0,M,0,0,0,0,0
27,25 - 45,Male,African-American,12,1,F,1,0,1,31,1
28,25 - 45,Male,African-American,5,0,F,1,0,0,51,1
33,25 - 45,Male,Caucasian,3,0,M,0,0,0,0,0
28,25 - 45,Female,Hispanic,0,1,F,0,0,0,2,0
47,Greater than 45,Male,Caucasian,5,312,F,1,0,1,291,1
36,25 - 45,Male,African-American,14,1,F,1,0,1,0,1
29,25 - 45,Male,African-American,2,1,F,0,0,0,1,0
22,Less than 25,Male,African-American,0,0,M,1,0,1,21,1
26,25 - 45,Male,African-American,6,34,F,0,0,0,0,1
25,25 - 45,Male,Caucasian,0,0,F,0,0,0,0,0
68,Greater than 45,Male,Caucasian,2,150,F,0,0,0,0,0
56,Greater than 45,Male,African-American,5,1,F,0,0,0,12,0
27,25 - 45,Male,African-American,9,1,F,1,1,1,52,1
52,Greater than 45,Male,Caucasian,4,1,F,1,0,1,7,0
32,25 - 45,Male,African-American,3,0,F,0,0,0,1,0
60,Greater than 45,Male,Other,4,1,F,0,0,0,1,0
23,Less than 25,Male,Hispanic,1,5,M,0,0,0,5,0
39,25 - 45,Female,Caucasian,0,2,M,0,0,0,0,0
56,Greater than 45,Male,Caucasian,0,1,M,0,0,0,0,0
22,Less than 25,Female,African-American,0,0,F,0,0,0,0,1
27,25 - 45,Female,African-American,1,31,F,1,0,1,0,0
53,Greater than 45,Male,African-American,11,1,F,0,0,0,110,0
25,25 - 45,Male,Caucasian,0,0,M,1,0,1,0,0
21,Less than 25,Male,Hispanic,0,0,M,0,0,0,0,0
22,Less than 25,Male,Caucasian,0,1,F,0,0,0,1,0
58,Greater than 45,Female,Caucasian,2,23,M,0,0,0,1,0
31,25 - 45,Male,African-American,7,0,M,1,0,1,1,0
22,Less than 25,Male,Caucasian,1,1,F,1,0,1,0,0
28,25 - 45,Male,African-American,8,1,F,1,0,1,3,0
42,25 - 45,Male,Other,1,1,F,0,0,0,2,0
20,Less than 25,Male,African-American,0,0,F,1,0,1,0,1
29,25 - 45,Male,Caucasian,0,0,M,1,1,1,5,0
29,25 - 45,Male,African-American,8,178,F,0,0,0,87,1
58,Greater than 45,Male,African-American,21,1,M,1,0,1,59,1
22,Less than 25,Male,African-American,3,1,F,0,0,0,106,1
48,Greater than 45,Male,Hispanic,1,0,M,1,0,1,0,0
37,25 - 45,Male,Caucasian,0,0,F,0,0,0,0,0
57,Greater than 45,Male,African-American,1,1,F,1,0,1,25,0
27,25 - 45,Male,Caucasian,3,22,M,0,0,0,1,0
26,25 - 45,Male,African-American,3,0,F,0,0,0,33,0
